unripe,Month,YrAfter,Period,Green.Year,n
0,Apr,No,Green,2013,145
0,Apr,No,Green,2019,180
0,Apr,No,Green,2021,184
0,Apr,Yes,Green,2018,180
0,Apr,Yes,Green,2023,163
0,Aug,No,Yellow,2012,172
0,Aug,No,Yellow,2013,110
0,Aug,No,Yellow,2014,164
0,Aug,No,Yellow,2019,181
0,Aug,No,Yellow,2020,177
0,Aug,No,Yellow,2021,183
0,Aug,Yes,Yellow,2018,185
0,Aug,Yes,Yellow,2023,187
0,Dec,No,Green,2013,11
0,Dec,No,Green,2014,155
0,Dec,No,Green,2015,156
0,Dec,No,Green,2019,188
0,Dec,No,Green,2020,173
0,Dec,No,Green,2021,181
0,Dec,Yes,Green,2018,165
0,Dec,Yes,Green,2023,197
0,Feb,No,Green,2013,53
0,Feb,No,Green,2014,155
0,Feb,No,Green,2019,172
0,Feb,No,Green,2020,175
0,Feb,No,Green,2021,171
0,Feb,Yes,Green,2018,172
0,Feb,Yes,Green,2023,99
0,Jan,No,Green,2013,1
0,Jan,No,Green,2014,152
0,Jan,No,Green,2015,145
0,Jan,No,Green,2019,181
0,Jan,No,Green,2020,160
0,Jan,No,Green,2021,175
0,Jan,Yes,Green,2018,31
0,Jan,Yes,Green,2023,195
0,Jul,No,Yellow,2012,170
0,Jul,No,Yellow,2013,51
0,Jul,No,Yellow,2015,152
0,Jul,No,Yellow,2019,181
0,Jul,No,Yellow,2020,176
0,Jul,Yes,Yellow,2018,90
0,Jul,Yes,Yellow,2023,189
0,Jun,No,Yellow,2012,165
0,Jun,No,Yellow,2013,160
0,Jun,No,Yellow,2014,163
0,Jun,No,Yellow,2015,153
0,Jun,No,Yellow,2019,178
0,Jun,No,Yellow,2020,175
0,Jun,No,Yellow,2021,119
0,Jun,Yes,Yellow,2018,177
0,Jun,Yes,Yellow,2023,195
0,Mar,No,Green,2013,4
0,Mar,No,Green,2014,161
0,Mar,No,Green,2015,145
0,Mar,No,Green,2019,180
0,Mar,No,Green,2020,174
0,Mar,No,Green,2021,182
0,Mar,Yes,Green,2018,176
0,May,No,Green,2013,164
0,May,No,Green,2014,163
0,May,No,Green,2015,154
0,May,No,Green,2019,174
0,May,No,Green,2021,182
0,May,Yes,Green,2018,187
0,May,Yes,Green,2023,189
0,Nov,No,Yellow,2012,42
0,Nov,No,Yellow,2013,153
0,Nov,No,Yellow,2014,162
0,Nov,No,Yellow,2015,152
0,Nov,No,Yellow,2019,181
0,Nov,No,Yellow,2020,180
0,Nov,Yes,Yellow,2018,187
0,Nov,Yes,Yellow,2023,184
0,Oct,No,Yellow,2012,132
0,Oct,No,Yellow,2013,150
0,Oct,No,Yellow,2014,163
0,Oct,No,Yellow,2019,184
0,Oct,No,Yellow,2020,177
0,Oct,Yes,Yellow,2018,81
0,Oct,Yes,Yellow,2023,188
0,Sep,No,Yellow,2012,170
0,Sep,No,Yellow,2014,163
0,Sep,No,Yellow,2015,158
0,Sep,No,Yellow,2019,182
0,Sep,No,Yellow,2020,177
0,Sep,Yes,Yellow,2018,51
0,Sep,Yes,Yellow,2023,193
1,Apr,No,Green,2013,19
1,Apr,Yes,Green,2018,3
1,Apr,Yes,Green,2023,3
1,Aug,No,Yellow,2012,3
1,Aug,No,Yellow,2013,2
1,Aug,No,Yellow,2019,1
1,Aug,Yes,Yellow,2018,1
1,Aug,Yes,Yellow,2023,4
1,Dec,No,Green,2013,12
1,Dec,No,Green,2014,2
1,Dec,No,Green,2015,2
1,Dec,No,Green,2020,2
1,Dec,Yes,Green,2018,1
1,Dec,Yes,Green,2023,1
1,Feb,No,Green,2013,64
1,Feb,No,Green,2014,4
1,Feb,No,Green,2019,2
1,Feb,No,Green,2021,1
1,Feb,Yes,Green,2018,6
1,Jan,No,Green,2013,5
1,Jan,No,Green,2014,1
1,Jan,No,Green,2015,3
1,Jan,No,Green,2019,1
1,Jan,No,Green,2020,6
1,Jan,No,Green,2021,1
1,Jul,No,Yellow,2012,4
1,Jul,No,Yellow,2013,1
1,Jul,No,Yellow,2015,3
1,Jul,Yes,Yellow,2018,1
1,Jul,Yes,Yellow,2023,2
1,Jun,No,Yellow,2012,8
1,Jun,No,Yellow,2013,6
1,Jun,No,Yellow,2014,1
1,Jun,No,Yellow,2019,1
1,Jun,No,Yellow,2020,2
1,Jun,No,Yellow,2021,1
1,Jun,Yes,Yellow,2018,1
1,Jun,Yes,Yellow,2023,1
1,Mar,No,Green,2013,7
1,Mar,No,Green,2014,1
1,Mar,No,Green,2020,1
1,Mar,No,Green,2021,1
1,Mar,Yes,Green,2018,3
1,May,No,Green,2013,8
1,May,No,Green,2014,1
1,May,No,Green,2019,1
1,May,Yes,Green,2023,2
1,Nov,No,Yellow,2012,23
1,Nov,No,Yellow,2013,2
1,Nov,No,Yellow,2015,1
1,Nov,No,Yellow,2019,1
1,Nov,Yes,Yellow,2018,1
1,Nov,Yes,Yellow,2023,1
1,Oct,No,Yellow,2012,1
1,Oct,No,Yellow,2014,2
1,Oct,Yes,Yellow,2018,2
1,Oct,Yes,Yellow,2023,2
1,Sep,No,Yellow,2012,3
1,Sep,No,Yellow,2014,1
1,Sep,No,Yellow,2019,1
1,Sep,Yes,Yellow,2023,3
2,Apr,No,Green,2013,8
2,Apr,Yes,Green,2018,1
2,Apr,Yes,Green,2023,5
2,Aug,No,Yellow,2014,1
2,Aug,No,Yellow,2020,6
2,Aug,Yes,Yellow,2023,1
2,Dec,No,Green,2013,33
2,Dec,No,Green,2014,3
2,Dec,No,Green,2015,3
2,Dec,No,Green,2020,2
2,Dec,Yes,Green,2018,3
2,Dec,Yes,Green,2023,1
2,Feb,No,Green,2013,44
2,Feb,No,Green,2014,3
2,Feb,No,Green,2019,3
2,Feb,No,Green,2020,3
2,Feb,No,Green,2021,3
2,Feb,Yes,Green,2018,4
2,Jan,No,Green,2013,31
2,Jan,No,Green,2014,3
2,Jan,No,Green,2015,3
2,Jan,No,Green,2019,4
2,Jan,No,Green,2020,9
2,Jan,No,Green,2021,1
2,Jan,Yes,Green,2023,1
2,Jul,No,Yellow,2012,1
2,Jul,No,Yellow,2019,2
2,Jul,No,Yellow,2020,5
2,Jul,Yes,Yellow,2023,3
2,Jun,No,Yellow,2012,1
2,Jun,No,Yellow,2013,3
2,Jun,No,Yellow,2015,2
2,Jun,No,Yellow,2019,2
2,Jun,No,Yellow,2020,1
2,Jun,No,Yellow,2021,1
2,Jun,Yes,Yellow,2018,1
2,Jun,Yes,Yellow,2023,1
2,Mar,No,Green,2013,5
2,Mar,No,Green,2014,3
2,Mar,No,Green,2015,3
2,Mar,No,Green,2019,1
2,Mar,No,Green,2020,2
2,Mar,Yes,Green,2018,4
2,May,No,Green,2014,2
2,May,No,Green,2019,2
2,May,Yes,Green,2018,1
2,Nov,No,Yellow,2012,22
2,Nov,No,Yellow,2013,5
2,Nov,No,Yellow,2014,3
2,Nov,No,Yellow,2015,1
2,Nov,No,Yellow,2019,1
2,Nov,No,Yellow,2020,1
2,Nov,Yes,Yellow,2023,1
2,Oct,No,Yellow,2012,1
2,Oct,No,Yellow,2013,2
2,Oct,No,Yellow,2020,6
2,Oct,Yes,Yellow,2023,2
2,Sep,No,Yellow,2012,1
2,Sep,No,Yellow,2014,1
2,Sep,No,Yellow,2015,1
2,Sep,No,Yellow,2019,1
2,Sep,No,Yellow,2020,6
2,Sep,Yes,Yellow,2023,1
3,Apr,No,Green,2019,3
3,Apr,No,Green,2021,1
3,Apr,Yes,Green,2018,1
3,Apr,Yes,Green,2023,4
3,Aug,No,Yellow,2013,2
3,Aug,No,Yellow,2019,3
3,Aug,No,Yellow,2020,1
3,Aug,Yes,Yellow,2023,2
3,Dec,No,Green,2013,62
3,Dec,No,Green,2015,1
3,Dec,No,Green,2019,1
3,Dec,No,Green,2020,3
3,Dec,No,Green,2021,2
3,Dec,Yes,Green,2018,1
3,Feb,No,Green,2013,10
3,Feb,No,Green,2014,3
3,Feb,No,Green,2019,4
3,Feb,No,Green,2020,2
3,Feb,No,Green,2021,3
3,Feb,Yes,Green,2023,1
3,Jan,No,Green,2013,47
3,Jan,No,Green,2014,6
3,Jan,No,Green,2015,2
3,Jan,No,Green,2019,1
3,Jan,No,Green,2020,4
3,Jan,No,Green,2021,4
3,Jan,Yes,Green,2023,2
3,Jul,No,Yellow,2019,1
3,Jul,No,Yellow,2020,3
3,Jul,Yes,Yellow,2018,1
3,Jul,Yes,Yellow,2023,3
3,Jun,No,Yellow,2013,2
3,Jun,No,Yellow,2015,2
3,Jun,No,Yellow,2019,1
3,Jun,No,Yellow,2020,2
3,Jun,No,Yellow,2021,1
3,Mar,No,Green,2014,2
3,Mar,No,Green,2015,5
3,Mar,No,Green,2019,1
3,Mar,No,Green,2020,3
3,Mar,No,Green,2021,1
3,Mar,Yes,Green,2018,5
3,May,No,Green,2019,5
3,May,No,Green,2021,3
3,May,Yes,Green,2018,1
3,May,Yes,Green,2023,2
3,Nov,No,Yellow,2012,48
3,Nov,No,Yellow,2013,1
3,Nov,No,Yellow,2015,2
3,Nov,No,Yellow,2019,2
3,Nov,No,Yellow,2020,1
3,Nov,Yes,Yellow,2018,1
3,Nov,Yes,Yellow,2023,5
3,Oct,No,Yellow,2012,2
3,Oct,No,Yellow,2013,7
3,Oct,No,Yellow,2020,1
3,Oct,Yes,Yellow,2023,3
3,Sep,No,Yellow,2020,1
4,Apr,No,Green,2019,2
4,Apr,Yes,Green,2023,3
4,Aug,No,Yellow,2013,1
4,Aug,No,Yellow,2020,1
4,Aug,Yes,Yellow,2018,1
4,Dec,No,Green,2013,55
4,Dec,No,Green,2014,5
4,Dec,No,Green,2015,3
4,Dec,No,Green,2019,1
4,Dec,No,Green,2020,6
4,Dec,No,Green,2021,1
4,Dec,Yes,Green,2018,18
4,Dec,Yes,Green,2023,1
4,Feb,No,Green,2019,2
4,Feb,No,Green,2020,3
4,Feb,No,Green,2021,6
4,Feb,Yes,Green,2018,7
4,Feb,Yes,Green,2023,3
4,Jan,No,Green,2013,87
4,Jan,No,Green,2014,4
4,Jan,No,Green,2015,3
4,Jan,No,Green,2019,2
4,Jan,No,Green,2020,7
4,Jan,No,Green,2021,2
4,Jan,Yes,Green,2023,2
4,Jul,No,Yellow,2015,3
4,Jul,No,Yellow,2019,2
4,Jul,No,Yellow,2020,1
4,Jun,No,Yellow,2014,1
4,Jun,No,Yellow,2015,3
4,Jun,No,Yellow,2019,3
4,Jun,No,Yellow,2020,5
4,Mar,No,Green,2015,8
4,Mar,No,Green,2019,3
4,Mar,No,Green,2020,3
4,Mar,No,Green,2021,1
4,Mar,Yes,Green,2018,3
4,May,No,Green,2014,1
4,May,No,Green,2015,6
4,May,No,Green,2019,1
4,May,No,Green,2021,1
4,May,Yes,Green,2023,4
4,Nov,No,Yellow,2012,40
4,Nov,No,Yellow,2013,4
4,Nov,No,Yellow,2015,3
4,Nov,No,Yellow,2020,3
4,Nov,Yes,Yellow,2018,1
4,Nov,Yes,Yellow,2023,4
4,Oct,No,Yellow,2013,5
4,Oct,No,Yellow,2019,1
4,Oct,No,Yellow,2020,1
4,Oct,Yes,Yellow,2018,2
4,Oct,Yes,Yellow,2023,1
4,Sep,No,Yellow,2015,1
4,Sep,No,Yellow,2020,1
