ML,Month,YrAfter,Period,Green.Year,n
0,Apr,No,Green,2013,159
0,Apr,No,Green,2019,39
0,Apr,No,Green,2021,32
0,Apr,Yes,Green,2018,19
0,Apr,Yes,Green,2023,57
0,Aug,No,Yellow,2012,155
0,Aug,No,Yellow,2013,52
0,Aug,No,Yellow,2014,70
0,Aug,No,Yellow,2019,86
0,Aug,No,Yellow,2020,96
0,Aug,No,Yellow,2021,93
0,Aug,Yes,Yellow,2018,68
0,Aug,Yes,Yellow,2023,72
0,Dec,No,Green,2013,161
0,Dec,No,Green,2014,107
0,Dec,No,Green,2015,138
0,Dec,No,Green,2019,142
0,Dec,No,Green,2020,160
0,Dec,No,Green,2021,159
0,Dec,Yes,Green,2018,158
0,Dec,Yes,Green,2023,180
0,Feb,No,Green,2013,164
0,Feb,No,Green,2014,69
0,Feb,No,Green,2019,149
0,Feb,No,Green,2020,125
0,Feb,No,Green,2021,151
0,Feb,Yes,Green,2018,55
0,Feb,Yes,Green,2023,83
0,Jan,No,Green,2013,160
0,Jan,No,Green,2014,97
0,Jan,No,Green,2015,136
0,Jan,No,Green,2019,156
0,Jan,No,Green,2020,157
0,Jan,No,Green,2021,165
0,Jan,Yes,Green,2018,14
0,Jan,Yes,Green,2023,186
0,Jul,No,Yellow,2012,153
0,Jul,No,Yellow,2013,22
0,Jul,No,Yellow,2015,54
0,Jul,No,Yellow,2019,64
0,Jul,No,Yellow,2020,86
0,Jul,Yes,Yellow,2018,29
0,Jul,Yes,Yellow,2023,69
0,Jun,No,Yellow,2012,151
0,Jun,No,Yellow,2013,159
0,Jun,No,Yellow,2014,46
0,Jun,No,Yellow,2015,43
0,Jun,No,Yellow,2019,54
0,Jun,No,Yellow,2020,59
0,Jun,No,Yellow,2021,40
0,Jun,Yes,Yellow,2018,59
0,Jun,Yes,Yellow,2023,56
0,Mar,No,Green,2013,15
0,Mar,No,Green,2014,12
0,Mar,No,Green,2015,23
0,Mar,No,Green,2019,116
0,Mar,No,Green,2020,84
0,Mar,No,Green,2021,101
0,Mar,Yes,Green,2018,67
0,May,No,Green,2013,163
0,May,No,Green,2014,29
0,May,No,Green,2015,15
0,May,No,Green,2019,22
0,May,No,Green,2021,35
0,May,Yes,Green,2018,44
0,May,Yes,Green,2023,25
0,Nov,No,Yellow,2012,161
0,Nov,No,Yellow,2013,104
0,Nov,No,Yellow,2014,125
0,Nov,No,Yellow,2015,113
0,Nov,No,Yellow,2019,158
0,Nov,No,Yellow,2020,146
0,Nov,Yes,Yellow,2018,129
0,Nov,Yes,Yellow,2023,147
0,Oct,No,Yellow,2012,124
0,Oct,No,Yellow,2013,145
0,Oct,No,Yellow,2014,109
0,Oct,No,Yellow,2019,138
0,Oct,No,Yellow,2020,120
0,Oct,Yes,Yellow,2018,61
0,Oct,Yes,Yellow,2023,112
0,Sep,No,Yellow,2012,159
0,Sep,No,Yellow,2014,85
0,Sep,No,Yellow,2015,84
0,Sep,No,Yellow,2019,109
0,Sep,No,Yellow,2020,120
0,Sep,Yes,Yellow,2018,26
0,Sep,Yes,Yellow,2023,82
1,Apr,No,Green,2013,7
1,Apr,No,Green,2019,34
1,Apr,No,Green,2021,45
1,Apr,Yes,Green,2018,29
1,Apr,Yes,Green,2023,28
1,Aug,No,Yellow,2012,7
1,Aug,No,Yellow,2013,24
1,Aug,No,Yellow,2014,17
1,Aug,No,Yellow,2019,31
1,Aug,No,Yellow,2020,27
1,Aug,No,Yellow,2021,40
1,Aug,Yes,Yellow,2018,47
1,Aug,Yes,Yellow,2023,25
1,Dec,No,Green,2013,2
1,Dec,No,Green,2014,14
1,Dec,No,Green,2015,14
1,Dec,No,Green,2019,14
1,Dec,No,Green,2020,12
1,Dec,No,Green,2021,8
1,Dec,Yes,Green,2018,12
1,Dec,Yes,Green,2023,14
1,Feb,No,Green,2013,4
1,Feb,No,Green,2014,31
1,Feb,No,Green,2019,18
1,Feb,No,Green,2020,24
1,Feb,No,Green,2021,25
1,Feb,Yes,Green,2018,20
1,Feb,Yes,Green,2023,11
1,Jan,No,Green,2013,7
1,Jan,No,Green,2014,28
1,Jan,No,Green,2015,6
1,Jan,No,Green,2019,10
1,Jan,No,Green,2020,29
1,Jan,No,Green,2021,12
1,Jan,Yes,Green,2018,9
1,Jan,Yes,Green,2023,8
1,Jul,No,Yellow,2012,6
1,Jul,No,Yellow,2013,13
1,Jul,No,Yellow,2015,6
1,Jul,No,Yellow,2019,31
1,Jul,No,Yellow,2020,20
1,Jul,Yes,Yellow,2018,18
1,Jul,Yes,Yellow,2023,20
1,Jun,No,Yellow,2012,6
1,Jun,No,Yellow,2013,7
1,Jun,No,Yellow,2014,21
1,Jun,No,Yellow,2015,17
1,Jun,No,Yellow,2019,21
1,Jun,No,Yellow,2020,23
1,Jun,No,Yellow,2021,22
1,Jun,Yes,Yellow,2018,11
1,Jun,Yes,Yellow,2023,18
1,Mar,No,Green,2014,33
1,Mar,No,Green,2015,29
1,Mar,No,Green,2019,26
1,Mar,No,Green,2020,29
1,Mar,No,Green,2021,28
1,Mar,Yes,Green,2018,29
1,May,No,Green,2013,3
1,May,No,Green,2014,21
1,May,No,Green,2015,17
1,May,No,Green,2019,46
1,May,No,Green,2021,22
1,May,Yes,Green,2018,21
1,May,Yes,Green,2023,27
1,Nov,No,Yellow,2012,8
1,Nov,No,Yellow,2013,6
1,Nov,No,Yellow,2014,23
1,Nov,No,Yellow,2015,18
1,Nov,No,Yellow,2019,9
1,Nov,No,Yellow,2020,12
1,Nov,Yes,Yellow,2018,26
1,Nov,Yes,Yellow,2023,18
1,Oct,No,Yellow,2012,4
1,Oct,No,Yellow,2013,3
1,Oct,No,Yellow,2014,22
1,Oct,No,Yellow,2019,26
1,Oct,No,Yellow,2020,25
1,Oct,Yes,Yellow,2018,13
1,Oct,Yes,Yellow,2023,40
1,Sep,No,Yellow,2012,5
1,Sep,No,Yellow,2014,29
1,Sep,No,Yellow,2015,26
1,Sep,No,Yellow,2019,24
1,Sep,No,Yellow,2020,25
1,Sep,Yes,Yellow,2018,12
1,Sep,Yes,Yellow,2023,45
2,Apr,No,Green,2013,6
2,Apr,No,Green,2019,20
2,Apr,No,Green,2021,32
2,Apr,Yes,Green,2018,19
2,Apr,Yes,Green,2023,22
2,Aug,No,Yellow,2012,10
2,Aug,No,Yellow,2013,16
2,Aug,No,Yellow,2014,22
2,Aug,No,Yellow,2019,24
2,Aug,No,Yellow,2020,23
2,Aug,No,Yellow,2021,31
2,Aug,Yes,Yellow,2018,22
2,Aug,Yes,Yellow,2023,25
2,Dec,No,Green,2013,4
2,Dec,No,Green,2014,10
2,Dec,No,Green,2015,5
2,Dec,No,Green,2019,9
2,Dec,No,Green,2020,5
2,Dec,No,Green,2021,4
2,Dec,Yes,Green,2018,7
2,Dec,Yes,Green,2023,5
2,Feb,No,Green,2013,4
2,Feb,No,Green,2014,24
2,Feb,No,Green,2019,8
2,Feb,No,Green,2020,10
2,Feb,No,Green,2021,5
2,Feb,Yes,Green,2018,17
2,Feb,Yes,Green,2023,8
2,Jan,No,Green,2013,4
2,Jan,No,Green,2014,20
2,Jan,No,Green,2015,5
2,Jan,No,Green,2019,6
2,Jan,No,Green,2021,4
2,Jan,Yes,Green,2018,4
2,Jan,Yes,Green,2023,2
2,Jul,No,Yellow,2012,11
2,Jul,No,Yellow,2013,9
2,Jul,No,Yellow,2015,22
2,Jul,No,Yellow,2019,28
2,Jul,No,Yellow,2020,31
2,Jul,Yes,Yellow,2018,9
2,Jul,Yes,Yellow,2023,26
2,Jun,No,Yellow,2012,13
2,Jun,No,Yellow,2013,4
2,Jun,No,Yellow,2014,16
2,Jun,No,Yellow,2015,8
2,Jun,No,Yellow,2019,7
2,Jun,No,Yellow,2020,18
2,Jun,No,Yellow,2021,18
2,Jun,Yes,Yellow,2018,7
2,Jun,Yes,Yellow,2023,43
2,Mar,No,Green,2013,1
2,Mar,No,Green,2014,29
2,Mar,No,Green,2015,25
2,Mar,No,Green,2019,15
2,Mar,No,Green,2020,13
2,Mar,No,Green,2021,9
2,Mar,Yes,Green,2018,15
2,May,No,Green,2013,4
2,May,No,Green,2014,23
2,May,No,Green,2015,12
2,May,No,Green,2019,22
2,May,No,Green,2021,19
2,May,Yes,Green,2018,10
2,May,Yes,Green,2023,16
2,Nov,No,Yellow,2012,5
2,Nov,No,Yellow,2013,4
2,Nov,No,Yellow,2014,5
2,Nov,No,Yellow,2015,8
2,Nov,No,Yellow,2019,9
2,Nov,No,Yellow,2020,12
2,Nov,Yes,Yellow,2018,10
2,Nov,Yes,Yellow,2023,15
2,Oct,No,Yellow,2012,7
2,Oct,No,Yellow,2013,3
2,Oct,No,Yellow,2014,15
2,Oct,No,Yellow,2019,7
2,Oct,No,Yellow,2020,15
2,Oct,Yes,Yellow,2018,5
2,Oct,Yes,Yellow,2023,13
2,Sep,No,Yellow,2012,8
2,Sep,No,Yellow,2014,20
2,Sep,No,Yellow,2015,12
2,Sep,No,Yellow,2019,23
2,Sep,No,Yellow,2020,14
2,Sep,Yes,Yellow,2018,5
2,Sep,Yes,Yellow,2023,22
3,Apr,No,Green,2019,32
3,Apr,No,Green,2021,52
3,Apr,Yes,Green,2018,36
3,Apr,Yes,Green,2023,38
3,Aug,No,Yellow,2012,3
3,Aug,No,Yellow,2013,15
3,Aug,No,Yellow,2014,32
3,Aug,No,Yellow,2019,31
3,Aug,No,Yellow,2020,27
3,Aug,No,Yellow,2021,16
3,Aug,Yes,Yellow,2018,39
3,Aug,Yes,Yellow,2023,48
3,Dec,No,Green,2013,4
3,Dec,No,Green,2014,17
3,Dec,No,Green,2015,4
3,Dec,No,Green,2019,13
3,Dec,No,Green,2020,5
3,Dec,No,Green,2021,5
3,Dec,Yes,Green,2018,5
3,Dec,Yes,Green,2023,1
3,Feb,No,Green,2014,25
3,Feb,No,Green,2019,6
3,Feb,No,Green,2020,13
3,Feb,No,Green,2021,1
3,Feb,Yes,Green,2018,21
3,Feb,Yes,Green,2023,1
3,Jan,No,Green,2014,11
3,Jan,No,Green,2015,4
3,Jan,No,Green,2019,10
3,Jan,No,Green,2021,1
3,Jan,Yes,Green,2018,4
3,Jan,Yes,Green,2023,2
3,Jul,No,Yellow,2012,5
3,Jul,No,Yellow,2013,7
3,Jul,No,Yellow,2015,34
3,Jul,No,Yellow,2019,32
3,Jul,No,Yellow,2020,36
3,Jul,Yes,Yellow,2018,21
3,Jul,Yes,Yellow,2023,44
3,Jun,No,Yellow,2012,3
3,Jun,No,Yellow,2013,1
3,Jun,No,Yellow,2014,37
3,Jun,No,Yellow,2015,30
3,Jun,No,Yellow,2019,37
3,Jun,No,Yellow,2020,44
3,Jun,No,Yellow,2021,27
3,Jun,Yes,Yellow,2018,48
3,Jun,Yes,Yellow,2023,55
3,Mar,No,Green,2014,39
3,Mar,No,Green,2015,34
3,Mar,No,Green,2019,15
3,Mar,No,Green,2020,20
3,Mar,No,Green,2021,22
3,Mar,Yes,Green,2018,28
3,May,No,Green,2013,2
3,May,No,Green,2014,46
3,May,No,Green,2015,31
3,May,No,Green,2019,38
3,May,No,Green,2021,43
3,May,Yes,Green,2018,22
3,May,Yes,Green,2023,40
3,Nov,No,Yellow,2013,13
3,Nov,No,Yellow,2014,7
3,Nov,No,Yellow,2015,11
3,Nov,No,Yellow,2019,6
3,Nov,No,Yellow,2020,8
3,Nov,Yes,Yellow,2018,9
3,Nov,Yes,Yellow,2023,12
3,Oct,No,Yellow,2012,1
3,Oct,No,Yellow,2013,6
3,Oct,No,Yellow,2014,11
3,Oct,No,Yellow,2019,12
3,Oct,No,Yellow,2020,17
3,Oct,Yes,Yellow,2018,3
3,Oct,Yes,Yellow,2023,25
3,Sep,No,Yellow,2012,2
3,Sep,No,Yellow,2014,22
3,Sep,No,Yellow,2015,17
3,Sep,No,Yellow,2019,20
3,Sep,No,Yellow,2020,18
3,Sep,Yes,Yellow,2018,6
3,Sep,Yes,Yellow,2023,37
4,Apr,No,Green,2019,60
4,Apr,No,Green,2021,24
4,Apr,Yes,Green,2018,82
4,Apr,Yes,Green,2023,33
4,Aug,No,Yellow,2013,8
4,Aug,No,Yellow,2014,24
4,Aug,No,Yellow,2019,13
4,Aug,No,Yellow,2020,12
4,Aug,No,Yellow,2021,3
4,Aug,Yes,Yellow,2018,11
4,Aug,Yes,Yellow,2023,23
4,Dec,No,Green,2013,2
4,Dec,No,Green,2014,17
4,Dec,No,Green,2015,4
4,Dec,No,Green,2019,12
4,Dec,No,Green,2020,4
4,Dec,No,Green,2021,8
4,Dec,Yes,Green,2018,6
4,Feb,No,Green,2014,16
4,Feb,No,Green,2019,2
4,Feb,No,Green,2020,11
4,Feb,No,Green,2021,2
4,Feb,Yes,Green,2018,76
4,Jan,No,Green,2014,10
4,Jan,No,Green,2015,5
4,Jan,No,Green,2019,7
4,Jan,No,Green,2021,1
4,Jan,Yes,Green,2023,2
4,Jul,No,Yellow,2013,1
4,Jul,No,Yellow,2015,42
4,Jul,No,Yellow,2019,31
4,Jul,No,Yellow,2020,12
4,Jul,Yes,Yellow,2018,15
4,Jul,Yes,Yellow,2023,38
4,Jun,No,Yellow,2014,45
4,Jun,No,Yellow,2015,62
4,Jun,No,Yellow,2019,66
4,Jun,No,Yellow,2020,41
4,Jun,No,Yellow,2021,15
4,Jun,Yes,Yellow,2018,54
4,Jun,Yes,Yellow,2023,25
4,Mar,No,Green,2014,54
4,Mar,No,Green,2015,50
4,Mar,No,Green,2019,13
4,Mar,No,Green,2020,37
4,Mar,No,Green,2021,25
4,Mar,Yes,Green,2018,52
4,May,No,Green,2014,48
4,May,No,Green,2015,85
4,May,No,Green,2019,55
4,May,No,Green,2021,67
4,May,Yes,Green,2018,92
4,May,Yes,Green,2023,89
4,Nov,No,Yellow,2013,38
4,Nov,No,Yellow,2014,5
4,Nov,No,Yellow,2015,9
4,Nov,No,Yellow,2019,3
4,Nov,No,Yellow,2020,7
4,Nov,Yes,Yellow,2018,16
4,Nov,Yes,Yellow,2023,3
4,Oct,No,Yellow,2013,7
4,Oct,No,Yellow,2014,8
4,Oct,No,Yellow,2019,2
4,Oct,No,Yellow,2020,8
4,Oct,Yes,Yellow,2018,3
4,Oct,Yes,Yellow,2023,6
4,Sep,No,Yellow,2014,9
4,Sep,No,Yellow,2015,21
4,Sep,No,Yellow,2019,8
4,Sep,No,Yellow,2020,8
4,Sep,Yes,Yellow,2018,2
4,Sep,Yes,Yellow,2023,11
